Heart disease_number,diabetes_number,Two or more races pop,0-9,20-29,30-39,40-49,50-59,80+,Unemployed_2018,Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Total Specialist Physicians (2019),STATE_NAME_N
2072,2823,447,3221,2922,2829,2831,3831,1208,760,11.77305929,10.07635369,0.383556683,54.0788287,22
3796,5416,649,5272,5137,5341,5880,7885,2928,1104,28.03264746,22.69271433,0.796586726,107.1469191,38
2222,3698,549,3915,6202,4363,4451,5107,1561,637,19.49391292,4.770447847,0.745206054,49.14972658,14
5484,7913,7741,11163,11595,11357,11444,12774,3478,1483,26.38392586,30.04641601,2.915995343,108.7549623,36
8686,12987,4721,16698,17281,15993,15845,17982,6039,2646,59.46754649,50.89722362,1.93740423,273.1605422,22
35077,67258,38888,72007,151437,183382,120821,107395,39309,13545,344.1931335,176.7858465,8.016435378,1312.350762,4
1433,2438,246,2435,2443,2283,2367,2949,800,404,9.291308264,6.419975617,0.27980056,24.67647977,10
165,216,51,361,277,350,287,331,184,45,1.501723464,1.282655982,0.180968789,3.04154562,41
31557,53389,11071,64634,70438,73278,78076,99861,30482,12783,343.5019111,278.0683041,9.761085292,1312.939548,38
260,492,101,454,567,652,457,533,260,90,2.117229511,1.102119472,0.084937779,5.995364193,31
16890,25818,8148,36179,35589,34363,34061,38394,12442,8095,110.6573385,55.56278212,4.169438305,476.7875332,13
640,914,99,1177,1004,955,1121,1202,310,170,5.750595403,1.932545013,0.205798404,12.65366187,17
130,178,30,269,145,218,185,274,89,36,1.173649512,0.582972515,0.100158273,2.319049254,34
15219,21166,4421,19474,21530,21389,22063,24637,8956,4263,94.1326037,66.75220729,5.595993426,280.0994566,48
734,1022,89,1486,1242,1251,1260,1725,708,173,7.285726099,3.23346741,0.447302643,15.49259239,15
59,80,31,89,67,84,72,117,52,17,0.391887452,0.304023797,0.04354305,0.895742748,26
1293,1963,201,2114,2440,2421,2298,2625,913,344,9.856606172,2.412056825,0.376794676,24.85132156,14
32977,60774,20829,78747,95507,97313,81193,86148,25564,14850,331.0218352,172.3127361,13.27974094,937.3553727,31
23840,33878,14608,61097,74304,86547,74852,81341,20968,10118,294.9268123,228.9121062,9.066834645,742.56357,5
2457,4348,555,5585,5666,5255,4756,4875,1396,776,18.57025802,12.83141193,0.559228954,49.32013698,10
1790,3171,425,3826,3295,3331,3147,3314,1029,694,12.30678385,8.50356591,0.370609275,32.6851821,10
903,1479,341,1920,1609,1389,1370,1634,556,245,4.495414842,2.653202921,0.237485047,15.39248205,43
260,405,99,553,407,403,360,451,210,53,1.260013076,0.743662263,0.066564327,4.314335681,43
7342,10298,2158,10172,15409,11251,10663,11044,4300,1955,48.62966655,34.48473169,2.890935591,144.7016511,48
690,959,121,854,1377,1146,1321,1022,344,91,5.067180298,2.497923103,0.088962631,11.93124176,9
1293,1793,293,2878,2326,2823,2739,3680,976,363,12.43429354,7.523544921,0.543821454,37.60545796,49
9013,12684,2753,13850,15923,14081,14123,18031,6857,2766,82.56173747,58.22072249,1.086769362,320.1910599,32
9041,13065,2235,13688,15629,14788,16566,19127,5938,2009,111.5203747,23.12670262,2.231183558,196.014326,42
2923,4045,519,4915,4922,5299,5400,6548,2386,1132,17.65065591,8.862670668,0.665055945,76.05110336,13
334,453,50,662,570,445,499,612,251,82,2.565070778,0.499201659,0.091582861,8.156129355,25
61,86,23,110,77,125,92,117,40,13,0.311467782,0.183828914,0.016454308,1.06647827,43
6669,10254,3137,12743,13849,11875,11714,13423,4742,2147,53.03776322,19.63776098,1.703812894,200.083842,35
